"id","business_name","coord_x","coord_y","full_address"
"3000000-101-1974-01334","라우드 플레이 리스트(LOUD Play list)","199088.08199482     ","451967.732853778    ","서울특별시 종로구 종로3가 116-3 "
"3000000-101-1974-02008","일봉","199849.042292977    ","452019.583574685    ","서울특별시 종로구 종로4가 148 "
"3000000-101-1974-04522","장군숯불갈비","199186.340950558    ","452176.045068543    ","서울특별시 종로구 묘동 188-1 "
"3000000-101-1974-04753","종로수정식당","198937.604871123    ","451940.924352725    ","서울특별시 종로구 관수동 3-6 지상1,2층 "
"3000000-101-1974-05722","백제고기나라","198966.78218634     ","452232.345396899    ","서울특별시 종로구 낙원동 136-0 2층 "
"3000000-101-1974-06258","맹순푸드","201860.113329983    ","452790.032927315    ","서울특별시 종로구 숭인동 699 "
"3000000-101-1974-06548","금룡","199721.954409944    ","451904.177489015    ","서울특별시 종로구 예지동 167-1 "
"3000000-101-1974-06803","구미회집","199347.318715084    ","451987.690879676    ","서울특별시 종로구 종로3가 150 "
"3000000-101-1975-03237","천궁","197595.161312175    ","452460.054621887    ","서울특별시 종로구 적선동 156 B1층 118호 "
"3000000-101-1975-03246","유도리","198223.712483189    ","452261.732174894    ","서울특별시 종로구 수송동 70-0 1층 "
"3000000-101-1975-03871","3 + 1","199700.878989831    ","453609.348087995    ","서울특별시 종로구 명륜2가 119-0 지상2층 "
"3000000-101-1975-03912","마산아구찜","198897.569901178    ","452318.687870214    ","서울특별시 종로구 낙원동 66 "
"3000000-101-1975-04579","카린지&린가네 광화문점","198228.999702198    ","452174.577685623    ","서울특별시 종로구 청진동 11-3 "
"3000000-101-1975-04661","북촌무궁화","198952.695314325    ","452228.624305754    ","서울특별시 종로구 낙원동 137-0 "
"3000000-101-1975-05705","송전","199715.242361235    ","451926.404165042    ","서울특별시 종로구 예지동 165-2 "
"3000000-101-1975-07006","원다포차","201334.919130252    ","452243.631447919    ","서울특별시 종로구 숭인동 313-7 "
"3000000-101-1976-01060","호남집","200493.880310277    ","451996.669049193    ","서울특별시 종로구 종로5가 281-9 "
"3000000-101-1976-01230","전주집","200493.880310277    ","451996.669049193    ","서울특별시 종로구 종로5가 281-9 "
"3000000-101-1976-01340","단막 종각직영점","198543.434281297    ","451901.078844033    ","서울특별시 종로구 관철동 43-5 "
"3000000-101-1976-01410","남해굴국밥","200078.997295702    ","452111.913378306    ","서울특별시 종로구 종로5가 87-1 "
"3000000-101-1976-01621","한마당","198110.93754409     ","452550.183857229    ","서울특별시 종로구 중학동 40-0 "
"3000000-101-1976-02230","목포집","199421.453299988    ","451985.649012465    ","서울특별시 종로구 종로3가 165-0 "
"3000000-101-1976-03742","브릭(BRICK)","198208.386453774    ","452193.293825248    ","서울특별시 종로구 청진동 3-2 지상2층 "
"3000000-101-1976-04026","치킨뱅이","199176.254127183    ","452199.616096341    ","서울특별시 종로구 묘동 183 "
"3000000-101-1976-04186","히말라야","198524.8093622      ","451942.366626947    ","서울특별시 종로구 관철동 45-2 "
"3000000-101-1976-04716","남해 굴국밥","200890.361967381    ","452081.995641838    ","서울특별시 종로구 창신동 463-1 "
"3000000-101-1976-06519","준 피자 앤 즉석 떡볶이","201916.552973096    ","452591.631816193    ","서울특별시 종로구 숭인동 1257 (지상1층) "
"3000000-101-1977-00313","이문 설농탕","198507.474844207    ","452271.611959462    ","서울특별시 종로구 견지동 88-0 지상1층 "
"3000000-101-1977-00949","설이동","198132.543506863    ","452159.828468301    ","서울특별시 종로구 청진동 182-5 지상1층 "
"3000000-101-1977-00964","연지동태국","199955.14173503     ","452136.68180035     ","서울특별시 종로구 종로5가 120-7 "
"3000000-101-1977-01159","뚱이네","200855.902563892    ","452248.430453421    ","서울특별시 종로구 창신동 687-43 "
"3000000-101-1977-03138","금성루","200880.868024602    ","452066.117895657    ","서울특별시 종로구 창신동 446-1 "
"3000000-101-1977-03568","미동","200263.971686005    ","452127.920429803    ","서울특별시 종로구 종로5가 38-1  (지상2층) "
"3000000-101-1977-03761","킨토토 혜화점","199897.272384494    ","453457.758252998    ","서울특별시 종로구 명륜2가 176 1층 "
"3000000-101-1977-04465","엘빈","199984.033653033    ","453695.726399703    ","서울특별시 종로구 혜화동 114-2 "
"3000000-101-1977-04566","육식주","200057.633416307    ","453390.105822038    ","서울특별시 종로구 명륜4가 22-0 지상1층 "
"3000000-101-1977-04606","미락한식뷔페","198985.790729294    ","452156.841758664    ","서울특별시 종로구 낙원동 146 (지상2층) "
"3000000-101-1978-00680","더테이블 청진탭룸","198251.356782618    ","452161.192296751    ","서울특별시 종로구 청진동 23-0 "
"3000000-101-1978-00735","둘레골","198575.554151238    ","452528.010075053    ","서울특별시 종로구 관훈동 92 "
"3000000-101-1978-00963","늘봄식당","200432.690205734    ","451993.117510903    ","서울특별시 종로구 종로5가 459 "
"3000000-101-1978-01784","미락","198297.790561175    ","452340.143222645    ","서울특별시 종로구 수송동 46-12 "
"3000000-101-1978-01969","올가콘라라(Olga Con Lara)","200432.690205734    ","451993.117510903    ","서울특별시 종로구 종로5가 459 "
"3000000-101-1978-03079","닭한마리","200861.262782534    ","452037.977148394    ","서울특별시 종로구 창신동 444-6 "
"3000000-101-1978-03663","낙지왕국","199160.475734489    ","452205.910367103    ","서울특별시 종로구 돈의동 109 "
"3000000-101-1978-05672","해송","201032.212249687    ","452228.015852926    ","서울특별시 종로구 창신동 151-2 그린약국, 1층 "
"3000000-101-1979-00329","라커스","198876.493851212    ","451907.162682615    ","서울특별시 종로구 관철동 5-6 "
"3000000-101-1979-00652","본가 닭한마리","197698.745044225    ","452100.51787896     ","서울특별시 종로구 당주동 40-0 "
"3000000-101-1979-00905","진아춘(광화문점)","197713.264843734    ","451938.037703258    ","서울특별시 종로구 신문로1가 163 "
"3000000-101-1979-01329","부촌육회","199849.042292977    ","452019.583574685    ","서울특별시 종로구 종로4가 148 "
"3000000-101-1979-01379","고향집","198908.817954963    ","452231.432531648    ","서울특별시 종로구 낙원동 235-0 "
"3000000-101-1979-01391","영춘옥","199181.405126507    ","452118.951347953    ","서울특별시 종로구 돈의동 131-1 "
"3000000-101-1979-03118","영화루","197193.994601594    ","453094.032429105    ","서울특별시 종로구 누하동 25-1 "
"3000000-101-1979-04668","맥주창고","198819.574269631    ","451942.979071945    ","서울특별시 종로구 관철동 6-2 지하1층 "
"3000000-101-1979-07044","와!감자탕 삼겹살","201294.962571741    ","452354.438364498    ","서울특별시 종로구 창신동 265-0 "
"3000000-101-1979-08084","오카구라","198876.665113194    ","451823.693512537    ","서울특별시 종로구 관철동 33-3 신영빌딩 B1층 "
"3000000-101-1980-00351","THAO LINH 분식점","200994.093174693    ","452223.842151234    ","서울특별시 종로구 창신동 534-0 "
"3000000-101-1980-01600","된장예술과 술","198729.086278235    ","451848.567716434    ","서울특별시 종로구 관철동 12-7 "
"3000000-101-1980-01727","송학","198062.887604585    ","451944.499629593    ","서울특별시 종로구 서린동 136 (지하1층) "
"3000000-101-1980-01739","산마루","200078.322730727    ","452132.69980055     ","서울특별시 종로구 효제동 331-0 "
"3000000-101-1980-03097","민들레 전통찻집","198606.177035272    ","452374.855402345    ","서울특별시 종로구 관훈동 192-36 지상1층 "
"3000000-101-1980-03108","낙지볶음 개미집","198462.656695463    ","452539.558079788    ","서울특별시 종로구 관훈동 144 (지상2층) "
"3000000-101-1980-03142","자영식당","200256.727353524    ","452291.343695335    ","서울특별시 종로구 효제동 268-2 "
"3000000-101-1980-06070","창신호프","200994.093174693    ","452223.842151234    ","서울특별시 종로구 창신동 534 "
"3000000-101-1980-06125","두레","198215.535758289    ","453023.999557742    ","서울특별시 종로구 소격동 165 "
"3000000-101-1980-06661","진미통닭","196216.695084581    ","452495.361879798    ","서울특별시 종로구 무악동 42-2 "
"3000000-101-1981-00399","조금","198485.817060089    ","452554.331523979    ","서울특별시 종로구 관훈동 123-4 "
"3000000-101-1981-00412","황금식당","198697.084384467    ","452029.674674531    ","서울특별시 종로구 인사동 90-0 "
"3000000-101-1981-00967","야젠","199174.38334774     ","452150.778808703    ","서울특별시 종로구 돈의동 125-1 지상1층 "
"3000000-101-1981-00971","낙원회관","198691.799418788    ","452546.547645387    ","서울특별시 종로구 경운동 88 "
"3000000-101-1981-00984","동묘","201603.97631019     ","452353.22244018     ","서울특별시 종로구 숭인동 227-7 "
"3000000-101-1981-01269","솔밭숯불갈비","198891.250411223    ","452369.321607237    ","서울특별시 종로구 낙원동 43 "
"3000000-101-1981-01296","바닷바람강릉회집","199909.304329747    ","452119.127030344    ","서울특별시 종로구 인의동 47 "
"3000000-101-1981-01375","신토불이","199006.837233012    ","452085.964430524    ","서울특별시 종로구 낙원동 179-0 "
"3000000-101-1981-01383","대복집","198863.744294526    ","452405.515599578    ","서울특별시 종로구 낙원동 11-0 "
"3000000-101-1981-01387","종로고집","199154.470979355    ","452237.51256864     ","서울특별시 종로구 돈의동 103 (지상1,2층) "
"3000000-101-1981-01681","박리분식","201906.350836688    ","452384.040325974    ","서울특별시 종로구 숭인동 1421-0 "
"3000000-101-1981-01791","(주)토속촌삼계탕","197401.807393108    ","452843.842430649    ","서울특별시 종로구 체부동 89-0 "
"3000000-101-1981-01939","덕순네 장어랑 메기랑","200385.855178835    ","452000.343065886    ","서울특별시 종로구 종로5가 493-1 "
"3000000-101-1981-01984","일월장","199193.300336189    ","452043.718167706    ","서울특별시 종로구 종로3가 19 "
"3000000-101-1981-03186","홍콩반점","199896.756683773    ","452094.698591519    ","서울특별시 종로구 종로4가 6-0 "
"3000000-101-1981-03737","니르바나","198500.170227082    ","452530.973356584    ","서울특별시 종로구 관훈동 120-0 "
"3000000-101-1981-04065","양평서울해장국","201307.134818914    ","452094.118893661    ","서울특별시 종로구 창신동 393-13 (지상1층) "
